NDVI,NDWI,SAVI,cloud_percent,day,month,time,year,timestamp,week_of_year,quarter,day_of_year,season,farm_id,farm_name
0.5296715220351205,-0.5201065108504896,0.7943902800328779,11.87776,1,1,1641024185233,2022,2022-01-01 08:03:05.233,52,1,1,Winter,wahaa 2,wahaa 2
0.5642610738745174,-0.5610617696941509,0.846267888831878,0.240643,6,1,1641456190867,2022,2022-01-06 08:03:10.867,1,1,6,Winter,wahaa 2,wahaa 2
0.5876827446086471,-0.5816465096966639,0.8813979768939667,1.612451,16,1,1642320189944,2022,2022-01-16 08:03:09.944,2,1,16,Winter,wahaa 2,wahaa 2
0.5253340877594204,-0.5323744610414038,0.787894304705363,1.341973,21,1,1642752184308,2022,2022-01-21 08:03:04.308,3,1,21,Winter,wahaa 2,wahaa 2
0.498191274472629,-0.4985428049715026,0.7471771513063649,0.000136,26,1,1643184189419,2022,2022-01-26 08:03:09.419,4,1,26,Winter,wahaa 2,wahaa 2
0.4737664686608845,-0.47859466582383214,0.7105372883551403,9.42203,31,1,1643616183453,2022,2022-01-31 08:03:03.453,5,1,31,Winter,wahaa 2,wahaa 2
0.4687730952794735,-0.47524542567634476,0.7030657100821706,0.108122,5,2,1644048189000,2022,2022-02-05 08:03:09.000,5,1,36,Winter,wahaa 2,wahaa 2
0.5084046458158613,-0.5148379031361904,0.7625013772230939,5.446281,10,2,1644480183564,2022,2022-02-10 08:03:03.564,6,1,41,Winter,wahaa 2,wahaa 2
0.5185780817459991,-0.5312627277589138,0.7777585300977617,0.000251,15,2,1644912189732,2022,2022-02-15 08:03:09.732,7,1,46,Winter,wahaa 2,wahaa 2
0.4740071408547866,-0.4796005476053869,0.7109168388071364,6.044828,25,2,1645776192042,2022,2022-02-25 08:03:12.042,8,1,56,Winter,wahaa 2,wahaa 2
0.4432124099118899,-0.45862077226675657,0.6647313838808088,0.000871,2,3,1646208186094,2022,2022-03-02 08:03:06.094,9,1,61,Spring,wahaa 2,wahaa 2
0.49533511623119136,-0.5267698688516168,0.7429038028281824,1.440434,7,3,1646640193281,2022,2022-03-07 08:03:13.281,10,1,66,Spring,wahaa 2,wahaa 2
0.49441013219006286,-0.5181010714835719,0.7415191797070271,11.424758,12,3,1647072187344,2022,2022-03-12 08:03:07.344,10,1,71,Spring,wahaa 2,wahaa 2
0.5044066311337345,-0.5212595594819663,0.7565137105142599,0.198087,17,3,1647504193098,2022,2022-03-17 08:03:13.098,11,1,76,Spring,wahaa 2,wahaa 2
0.5054654404833668,-0.5456597534213279,0.7581056944544696,0.005038,22,3,1647936187118,2022,2022-03-22 08:03:07.118,12,1,81,Spring,wahaa 2,wahaa 2
0.5207721619455662,-0.5841397663690279,0.7810624865029603,0.000342,27,3,1648368191942,2022,2022-03-27 08:03:11.942,12,1,86,Spring,wahaa 2,wahaa 2
0.4580215343077815,-0.48046751939123444,0.6869511104201653,13.496172,1,4,1648800185789,2022,2022-04-01 08:03:05.789,13,2,91,Spring,wahaa 2,wahaa 2
0.47124007007863283,-0.4996651964588374,0.7067739862389721,0.000255,6,4,1649232190296,2022,2022-04-06 08:03:10.296,14,2,96,Spring,wahaa 2,wahaa 2
0.46874223255893344,-0.5006411553666676,0.7030289773588905,0.000421,11,4,1649664185973,2022,2022-04-11 08:03:05.973,15,2,101,Spring,wahaa 2,wahaa 2
0.3929946214846131,-0.4160680816834389,0.5894252282449203,0.003532,16,4,1650096192781,2022,2022-04-16 08:03:12.781,15,2,106,Spring,wahaa 2,wahaa 2
0.27151225929276435,-0.3086198313951344,0.40722761390086365,0.008829,21,4,1650528184305,2022,2022-04-21 08:03:04.305,16,2,111,Spring,wahaa 2,wahaa 2
0.3624541346806104,-0.3942610595068172,0.5436214479419648,0.000326,26,4,1650960194392,2022,2022-04-26 08:03:14.392,17,2,116,Spring,wahaa 2,wahaa 2
0.4805297141133596,-0.48588989086819523,0.7207165514111319,0.000395,1,5,1651392183206,2022,2022-05-01 08:03:03.206,17,2,121,Spring,wahaa 2,wahaa 2
0.4949446487576289,-0.4926248037343413,0.7423408344339603,4.90813,6,5,1651824193882,2022,2022-05-06 08:03:13.882,18,2,126,Spring,wahaa 2,wahaa 2
0.45367387520897545,-0.4597928726373049,0.6804407504573377,0.006717,11,5,1652256187006,2022,2022-05-11 08:03:07.006,19,2,131,Spring,wahaa 2,wahaa 2
0.44990155959642736,-0.47863466365289337,0.6747817491868607,0.000363,16,5,1652688194180,2022,2022-05-16 08:03:14.180,20,2,136,Spring,wahaa 2,wahaa 2
0.4502089400826298,-0.4923051124363616,0.675243871861759,0.334174,21,5,1653120189304,2022,2022-05-21 08:03:09.304,20,2,141,Spring,wahaa 2,wahaa 2
0.41103355324307206,-0.42793053495988714,0.6164866503380139,0.001676,26,5,1653552196683,2022,2022-05-26 08:03:16.683,21,2,146,Spring,wahaa 2,wahaa 2
