farm_name,year,peak_ndvi,peak_day,season_duration,avg_ndwi_stress,seasonal_integral,ndvi_std_dev,performance_cluster,performance_score
Abdula altazi,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
Abdula altazi,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
Abdula altazi,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
Abdula altazi,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
Abdula altazi,2022,0.5724754773496615,336,280,-0.4745631602333777,19.842640260342716,0.1897085294994689,0,Premium Tier
Abdula altazi,2023,0.4633850475265016,336,330,-0.3527223594487323,14.53648392639207,0.16209916376539396,0,Premium Tier
Abdula altazi,2024,0.5603621558307901,316,260,-0.4166953763512916,18.244050511187087,0.18089451216465588,0,Premium Tier
Abdula altazi,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
abuonoq,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
abuonoq,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
abuonoq,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
abuonoq,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
abuonoq,2022,0.6753346898013064,221,165,-0.5389732060002212,23.69884408256848,0.23705597461815725,0,Premium Tier
abuonoq,2023,0.543608440908478,271,265,-0.41390286754789923,18.035470507042692,0.20035431386263297,0,Premium Tier
abuonoq,2024,0.5926895570539527,316,260,-0.4756551735079087,22.03620669449923,0.2097558948355306,0,Premium Tier
abuonoq,2025,0.0700485361857777,105,95,-0.21691414230812645,2.6297077138787737,0.017678634696033823,1,Standard Tier
albadr,2018,0.065852209829565,352,205,-0.21691414230812645,0.3204431914029189,0.017994967303735086,2,Economy Tier
albadr,2019,0.0819260368313969,17,5,-0.1366011875528909,2.66289475082236,0.016792657065226316,1,Standard Tier
albadr,2020,0.0805343071553013,7,5,-0.21691414230812645,2.3955949108626053,0.019307192991513747,1,Standard Tier
albadr,2021,0.0574399826620956,56,35,-0.21691414230812645,2.16638838761023,0.00809887245267428,1,Standard Tier
albadr,2022,0.6340072972437151,336,280,-0.4949154112528357,21.363459569623238,0.20883966378437135,0,Premium Tier
albadr,2023,0.5618839814281498,336,330,-0.3870635219819457,16.369985250931038,0.19037373185574227,0,Premium Tier
